id;cliente;fecha;periodo;hallazgo;responsable;area;plazo;estado;fecha cumplimiento
94e0ffa202440A;94e0ffa2;2024-10-08;Septiembre;"Se debe gestionar incorporación de luces de emergencia.
Considerar que los mismos deben estar colocados en puertas de acceso / salida de emergencia y lugares que atañan riesgos (ej.: escaleras).";Hernandez / Peralata;f6fc345e;20;Gestión en Curso;2024-10-28
94e0ffa202441A;94e0ffa2;2024-10-08;Septiembre;Si bien se cuenta con extintores, los mismos no se encuentran en condiciones (vencidos). Se debería gestionar el reemplazo del mismo;Hernandez / Peralata;f6fc345e;20;Gestión en Curso;2024-10-28
94e0ffa202442A;94e0ffa2;2024-10-08;Septiembre;Los lugares en los que se encuentran los extintores se encuentran obstruidos por objetos. Se deberá liberar el sector frontal (1 mts.). Considerar que frente a los mismos, NO se deben almacenar objetos.;Hernandez / Peralata;f6fc345e;7;INCUMPLIDO;2024-10-15
94e0ffa202443A;94e0ffa2;2024-10-08;Septiembre;Escalera de acceso a oficina: Se deviera analizar posibilidad de acondicionamiento según características establecidas por Res. SRT 231/96. ;Hernandez / Peralata;f6fc345e;45;Gestión en Curso;2024-11-22
94e0ffa202444A;94e0ffa2;2024-10-08;Septiembre;Se debiera considerar la protección de escalera en parte superior (interior de oficina) mediante colocación de barandas. ;Hernandez / Peralata;f6fc345e;45;Gestión en Curso;2024-11-22
94e0ffa202445A;94e0ffa2;2024-10-08;Septiembre;Compresor: se debiera analizar posoibiliad de gestionar el control de válvulas de seguridad, medición de espesres, entre otras (según Res. SRT 231/96) .;Hernandez / Peralata;f6fc345e;45;Gestión en Curso;2024-11-22
94e0ffa202446A;94e0ffa2;2024-10-08;Septiembre;Se debe gestionar adecuación de botiquín con elementos básicos para actuación frente a posible lesiones (corte con hemorragias, quemadoras y fracturas).;Hernandez / Peralata;f6fc345e;15;Gestión en Curso;2024-10-23
94e0ffa202447A;94e0ffa2;2024-10-08;Septiembre;Se debe incorporar cartelería de actuación ante siniestro otorgado por la ART.;Hernandez / Peralata / Neri;f6fc345e;30;Gestión en Curso;2024-11-07
94e0ffa202448A;94e0ffa2;2024-10-08;Septiembre;Gestionar colocación de cartelería de seguridad (Ergonomía en el trabajo, criterios para manipulación segura de carga, obligación de usar pasamano para ascenso / descenso en escalera, riesgo eléctrico, estacionamiento correcto de vehículos, sanitarios, Kit Ecológico entre otras).;Hernandez / Peralata;f6fc345e;30;Gestión en Curso;2024-11-07
94e0ffa202449A;94e0ffa2;2024-10-08;Septiembre;"Se debe gestionar colocación de cartel que indique la ""Salida de Emergencia"" en la instalación (puertas de salida al exterior)";Hernandez / Peralata;f6fc345e;30;Gestión en Curso;2024-11-07
94e0ffa202450A;94e0ffa2;2024-10-08;Septiembre;"Gestionar planilla de ""Horarios de Trabajos y Descanso"". El mismo debería estar rubricado por Ministerio de Trabajo.";Hernandez / Peralata / Neri;f6fc345e;45;Gestión en Curso;2024-11-22
94e0ffa202451A;94e0ffa2;2024-10-08;Septiembre;En consideración del riesgo ambiental relacionado a derrames de hidrocarburos, se considera oportuno la incorporación de material absorbente para la gestión ante posible derrames. Mismo así la pala (para dispersión del material);Hernandez / Peralata;f6fc345e;30;Gestión en Curso;2024-11-07
94e0ffa202452A;94e0ffa2;2024-10-08;Septiembre;Sería oportuno considerar la incorporación de batea de contención en sector en donde se almacenan los HC (tachos de 20 l).;Hernandez / Peralata;f6fc345e;90;Gestión en Curso;2025-01-06
94e0ffa202453A;94e0ffa2;2024-10-08;Septiembre;Puestas a tierras: se debiera disponer de la medición de la PAT a los fines de garantizar que la resistividad se encuentre dentro de los parámetros.;Hernandez / Peralata;f6fc345e;60;Gestión en Curso;2024-12-07
94e0ffa202454A;94e0ffa2;2024-10-08;Septiembre;"Se debe disponer en local de las FDS de los productos almacenados / comercializados. Esto debe estar en conocimiento y al alcance de los trabajadores. Se podría verifiar esto en ""jdmsds.com""";Hernandez / Peralata;f6fc345e;30;Gestión en Curso;2024-11-07
94e0ffa202455A;94e0ffa2;2024-10-08;Septiembre;"Se debe tener expuesto en local los ""Números de actuación ante siniestros"", ""Rol de Emergencias""";Hernandez / Peralata / Neri;f6fc345e;30;Gestión en Curso;2024-11-07
